# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
China,11,Bo_Hai_Korean_Bay_North_Coast,BoHai,66,1975,0.03443601,0.18308,1
China,11,China_Coast,ChinaCst,78,1975,0.293824965,1.64445,1.835
China,11,Ganges_Bramaputra,GangesR,110,1975,0.38434,1.39001,2.989
China,11,Gobi_Interior,Gobi,42,1975,0.04018,1.68206,3.449
China,11,Hong_(Red_River),Hong,109,1975,0.045531465,0.05708,15
China,11,Huang_He,HuangHeR,79,1975,1.21993,1.18805,2.703
China,11,Irrawaddy,IrrawaddyR,137,1975,0.02499,0.0538,1
China,11,Lake_Balkash,LBalkash,68,1975,0.022353555,0.44295,1.438
China,11,Mekong,Mekong,125,1975,0.265381305,0.81732,2.352
China,11,Ob,ObR,56,1975,0.01608,0.70599,1
China,11,Russia_South_East_Coast,RusCstSE,37,1975,0.01214,0.06498,2.451
China,11,Salween,Salween,127,1975,0.10097,0.78133,3.221
China,11,Tarim_Interior,Tarim,85,1975,0.04763,1.21779,1.977
China,11,Xun_Jiang,XunJiang,108,1975,0.61831,0.62499,1.452
China,11,Yangtze,Yangtze,106,1975,5.04492,0.68299,1.68
China,11,Ziya_He_Interior,ZiyaHe,77,1975,0.080515575,0.2455,2.466
Colombia,32,Amazon,AmazonR,168,1975,0.06115,1.23845,6.07
Colombia,32,Caribbean_Coast,SAmerCstN,143,1975,0.11938,0.03787,1.044
Colombia,32,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,157,1975,0.25244,0.82407,2.942
Colombia,32,Magdalena,MagdalenaR,166,1975,1.16679,0.60052,1.44
Colombia,32,Orinoco,OrinocoR,156,1975,0.26309,0.39895,1.081
EU-12,12,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,55,1975,0.018677505,0.35815,1.961
EU-12,12,Danube,DanubeR,54,1975,0.41119,0.03113,2.484
EU-15,13,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,55,1975,0.027388305,0.3481,1.344
EU-15,13,Danube,DanubeR,54,1975,0.52757,0.89293,1.819
