Gulf_of_Guinea,GuineaGulf,162
Sumatra,Sumatra,163
Sulawesi,Sulawesi,164
Kalimantan,Kalimantan,165
Magdalena,MagdalenaR,166
Irian_Jaya_Coast,IrianJaya,167
Amazon,AmazonR,168
South_Chile_Pacific_Coast,ChileCstS,169
Shebelli_Juba,ShebJubR,170
Africa_East_Central_Coast,AfrCstE,171
North_Brazil_South_Atlantic_Coast,BrzCstN,172
Papua_New_Guinea_Coast,PapuaCst,173
Tocantins,TocantinsR,174
Java_Timor,JavaTimor,175
Solomon_Islands,SolomonIsl,176
Madagascar,Madagascar,177
Sepik,SepikR,178
Rift_Valley,RiftValley,179
Peru_Pacific_Coast,PeruCst,180
Fly,FlyR,181
Angola_Coast,AngolaCst,182
Congo,CongoR,183
Australia_North_Coast,AusCstN,184
South_Pacific_Islands,NewCaledn,185
East_Brazil_South_Atlantic_Coast,BrzCstE,186
Parnaiba,ParnaibaR,187
Zambezi,ZambeziR,188
Australia_East_Coast,AusCstE,189
Africa_Indian_Ocean_Coast,AfrCstSE,190
Australia_West_Coast,AusCstW,191
Sao_Francisco,SaoFrancR,192
Australia_Interior,AusInt,193
Orange,OrangeR,194
Uruguay_Brazil_South_Atlantic_Coast,BrzCstS,195
Namibia_Coast,AfrCstSW,196
Africa_South_Interior,AfrIntS,197
South_Africa_South_Coast,AfrCstS,198
Limpopo,LimpopoR,199
La_Puna_Region,LaPuna,200
New_Zealand,NewZealand,201
Australia_South_Coast,AusCstS,202
Mar_Chiquita,MarChiq,203
South_Africa_West_Coast,AfrCstSSW,204
Salinas_Grandes,Salinas,205
La_Plata,RioLaPlata,206
North_Chile_Pacific_Coast,ChileCstN,207
Murray_Darling,MurrayDrlg,208
Pampas_Region,Pampas,209
North_Argentina_South_Atlantic_Coast,ArgCstN,210
Tasmania,Tasmania,211
South_America_Colorado,ArgColoR,212
Negro,NegroR,213
Central_Patagonia_Highlands,Patagonia,214
South_Argentina_South_Atlantic_Coast,ArgCstS,215
Antarctica,Antarctica,216
California_River_Basin,California,217
Upper_Mississippi_Basin,MissppRN,218
Lower_Mississippi_River_Basin,MissppRS,219
Upper_Colorado_River_Basin,UsaColoRN,220
Lower_Colorado_River_Basin,UsaColoRS,221
Great_Basin,GreatBasin,222
Missouri_River_Basin,MissouriR,223
Arkansas_White_Red_Basin,ArkWhtRedR,224
Texas_Gulf_Coast_Basin,TexasCst,225
South_Atlantic_Gulf_Basin,UsaCstSE,226
Great_Lakes_Basin,GreatLakes,227
Ohio_River_Basin,OhioR,228
Pacific_Northwest_Basin,UsaPacNW,229
Tennessee_River_Basin,TennR,230
Rio_Grande_River_Basin,RioGrande,231
New_England_Basin,UsaCstNE,232
Mid_Atlantic_Basin,UsaCstE,233
Hawaii,Hawaii,234
Narmada,NarmadaR,235
